outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,55,68,35,68,1038,0,60,30,30,70,300,53.20308899,56.35470438,53.15595103,57.02174016,58.34645623,60.75346569,3.947450472,50.76293616,0,0,32,37,56.9123769,52.96492643,66.66666667,54.54545455,22,18,0.5
1,1,94,94,56,68,35,68,1100,0,60,30,30,60,300,56.35470438,53.20308899,56.74158425,52.81589803,60.4644603,57.99478008,4.007129234,50.76293616,0,0,32,37,56.63243463,52.62530539,66.66666667,54.54545455,22,18,0.4
1,1,98,98,72,72,29,72,1027,10,30,7,20,10,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
0,0,98,98,72,72,29,72,1027,1,30,7,20,10,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
0,0,98,98,72,72,29,72,1027,0.1,30,7,20,10,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
1,1,98,98,72,72,31,72,1027,5,30,7,20,20,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
1,1,98,98,72,72,31,72,1027,10,30,7,20,20,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
1,1,98,98,72,72,31,72,1027,15,30,7,20,20,600,69.1988952,62.69226179,73.57953601,65.05119697,77.7907848,68.61271684,8.177996508,59.04137696,0,34.81441464,31,42,71.39641248,63.21841597,60,55,40,25,1
1,1,98,98,72,72,29,72,2,1,30,7,20,30,600,62.76560389,65.35496465,65.89947414,69.39420795,69.77747832,71.80630852,3.501587052,60.65526483,0,14.8463714,37,39,67.63947852,64.13789146,57.14285714,50,40,28,1
1,1,98,98,72,72,29,72,2,1,30,7,20,30,600,62.76560389,65.35496465,65.89947414,69.39420795,69.77747832,71.80630852,3.501587052,60.65526483,0,14.8463714,37,39,67.63947852,64.13789146,57.14285714,50,40,28,1
1,1,98,98,72,72,29,72,2,5,30,7,20,30,600,62.76560389,65.35496465,65.89947414,69.39420795,69.77747832,71.80630852,3.501587052,60.65526483,0,14.8463714,37,39,67.63947852,64.13789146,57.14285714,50,40,28,1
1,1,98,98,72,72,29,72,2,5,30,7,20,30,600,62.76560389,65.35496465,65.89947414,69.39420795,69.77747832,71.80630852,3.501587052,60.65526483,0,14.8463714,37,39,67.63947852,64.13789146,57.14285714,50,40,28,1
1,1,98,98,72,72,29,72,2,1,30,7,20,30,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,2,5,30,7,20,30,600,62.76560389,64.70753068,65.89947414,68.46051072,69.77747832,70.54036677,2.753167048,60.65526483,0,14.8463714,37,39,66.89105851,64.13789146,57.14285714,47.5,40,28,1
1,1,98,98,72,72,29,72,751,5,30,7,20,15,600,66.68846442,67.18954696,70.63097181,70.60044019,75.12348552,72.9436752,0.08188701,42.37625295,10.0295151,36.67098252,32,43,68.62901962,68.54713261,55.88235294,55.88235294,34,34,1
1,1,98,98,72,72,29,72,751,1,30,7,20,15,600,66.68846442,67.18954696,70.63097181,70.60044019,75.12348552,72.9436752,0.08188701,42.37625295,10.0295151,36.67098252,32,43,68.62901962,68.54713261,55.88235294,55.88235294,34,34,1
1,1,98,98,72,72,29,72,751,0.1,30,7,20,15,600,66.68846442,67.18954696,70.63097181,70.60044019,75.12348552,72.9436752,0.08188701,42.37625295,10.0295151,36.67098252,32,43,68.62901962,68.54713261,55.88235294,55.88235294,34,34,1
1,1,98,98,72,72,35,72,1779,0.5,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,72,72,35,72,1779,0.5,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,72,72,35,72,1779,0.05,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,72,72,35,72,1779,0.05,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,72,72,35,72,1779,1,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,72,72,35,72,1779,1,30,7,20,20,600,68.41912189,68.70764625,72.56796381,73.08910277,74.16595477,76.10629165,0.475896207,52.12859056,0,9.14800452,35,37,71.19645185,70.72055564,48.93617021,48.88888889,47,45,1
1,1,98,98,68,72,32,72,3656,5,30,7,20,60,600,53.79167012,54.07517743,55.47357903,55.44010882,59.73608905,56.01208868,0.342226051,51.43652736,0,22.7095001,28,31,54.68273447,54.34050842,57.14285714,50,22,21,1
1,1,98,98,68,72,32,72,3656,1,30,7,20,60,600,53.79167012,54.07517743,55.47357903,55.44010882,59.73608905,56.01208868,0.342226051,51.43652736,0,22.7095001,28,31,54.68273447,54.34050842,57.14285714,50,22,21,1
1,1,98,98,68,72,32,72,3656,0.1,30,7,20,60,600,53.79167012,54.07517743,55.47357903,55.44010882,59.73608905,56.01208868,0.342226051,51.43652736,0,22.7095001,28,31,54.68273447,54.34050842,57.14285714,50,22,21,1
1,1,94,94,60,68,25,68,400,100,30,30,30,30,300,56.18442342,54.60959782,51.00259587,48.63657667,56.08123285,55.35515347,0.687197803,49.79193424,0,0,37,38,54.35403269,53.66683489,66.66666667,40.74074074,27,18,0.5
1,1,94,94,58,72,44,72,1300,50,90,30,30,150,600,58.28068563,54.77774098,58.26772601,54.80521147,60.8923806,58.83177111,3.430740274,48.29583686,9.950223214,0,35,36,58.08487975,54.65413948,60,57.14285714,21,20,0.4
1,1,94,94,56,72,44,72,1059,50,30,30,30,90,600,50.42699641,54.77607324,50.6711708,55.05683058,53.59143156,59.33537875,3.924489022,0,0,0,29,37,55.19509227,51.27060324,50,39.13043478,23,22,0.4
1,1,94,94,56,72,44,72,1059,50,30,30,30,90,600,52.17072941,52.47504522,52.50457846,52.64920428,55.42464618,56.31811873,0.149982061,0,0,0,29,37,53.02814952,52.87816745,45.45454545,43.47826087,23,22,0.4
